Subnet,IPv4,IPv6,DNS,A,AAAA
Host Lock:,False,,,,
BGL Bangalore Office INFRA block (Small),10.0.1.0/24,2001:db8:c200:1000::/52,,,
BGL Bangalore Office USER block (Small),10.128.64.0/23,2001:db8:a200::/48,,,
bgl Crosslinks,10.0.1.0/26,2001:db8:c200:1000::/56,,,
bgl-wan-gw1 <-> bgl-1-sw1,10.0.1.0/30,2001:db8:c200:1000::/127,bgl-wan-gw1-ten0-0-4,10.0.1.1,2001:db8:c200:1000::
,,,bgl-1-sw1-twe1-1-1,10.0.1.2,2001:db8:c200:1000::1
,,,,,
bgl-wan-gw1 <-> bgl-console-server1,10.0.1.4/30,2001:db8:c200:1004::/127,bgl-wan-gw1-gig0-0-3,10.0.1.5,2001:db8:c200:1004::
,,,bgl-console-server1-gig0-0-0,10.0.1.6,2001:db8:c200:1004::1
,,,,,
bgl-wan-gw1 <-> WAN,10.0.1.8/30,2001:db8:c200:1008::/64,,,
,,,,,
bgl-1-sw1 <-> bgl-lab-gw1,10.0.1.12/30,2001:db8:c200:100c::/127,bgl-1-sw1-twe1-1-3,10.0.1.13,2001:db8:c200:100c::
,,,bgl-lab-gw1-ten0-0-4,10.0.1.14,2001:db8:c200:100c::1
,,,,,
bgl Loopbacks,10.0.1.64/27,2001:db8:c200:1100::/64,bgl-wan-gw1,10.0.1.65,2001:db8:c200:1100::a00:141
,,,bgl-console-server1,10.0.1.66,2001:db8:c200:1100::a00:142
,,,bgl-1-sw1,10.0.1.67,2001:db8:c200:1100::a00:143
,,,bgl-lab-gw1,10.0.1.68,2001:db8:c200:1100::a00:144
,,,,,
bgl VLAN 100 Data,10.128.64.0/24,2001:db8:a200:64::/64,bgl-1-sw1-vlan100,10.128.64.1,2001:db8:a200:64::1
,,,,,
bgl VLAN 150 Voice,10.128.65.128/26,2001:db8:a200:96::/64,bgl-1-sw1-vlan150,10.128.65.129,2001:db8:a200:96::1
,,,,,
bgl VLAN 200 Guest,10.128.65.0/25,2001:db8:a200:c8::/64,bgl-1-sw1-vlan200,10.128.65.1,2001:db8:a200:c8::1
,,,,,
bgl VLAN 300 Services,10.0.1.128/25,2001:db8:c200:1111::/64,bgl-1-sw1-vlan300,10.0.1.129,2001:db8:c200:1111::1
,,,bgl-1-cap1,10.0.1.139,N/A
,,,bgl-1-cap2,10.0.1.140,N/A
,,,bgl-1-cap3,10.0.1.141,N/A
,,,bgl-1-cap4,10.0.1.142,N/A
,,,bgl-1-cap5,10.0.1.143,N/A
,,,bgl-1-cap6,10.0.1.144,N/A
,,,bgl-1-cap7,10.0.1.145,N/A
,,,bgl-1-cap8,10.0.1.146,N/A
,,,bgl-1-cap9,10.0.1.147,N/A
,,,bgl-1-cap10,10.0.1.148,N/A
,,,bgl-1-cap11,10.0.1.149,N/A
,,,,,
