Subnet,IPv4,IPv6,,DNS,A,AAAA
Host Lock:,False,,,,,
NYC New York Office INFRA block (Medium),10.1.2.0/23,2001:db8:c100::/52,,,,
NYC New York Office USER block (Medium),10.128.96.0/21,2001:db8:a100::/48,,,,
nyc Crosslinks,10.1.2.0/25,2001:db8:c100::/56,,,,
nyc-wan-gw1 <-> nyc-core-sw1,10.1.2.0/30,2001:db8:c100::/127,,nyc-wan-gw1-ten0-0-4,10.1.2.1,2001:db8:c100::
,,,,nyc-core-sw1-hun1-0-49,10.1.2.2,2001:db8:c100::1
,,,,,,
nyc-wan-gw1 <-> nyc-core-sw2,10.1.2.4/30,2001:db8:c100:4::/127,,nyc-wan-gw1-ten0-0-5,10.1.2.5,2001:db8:c100:4::
,,,,nyc-core-sw2-hun1-0-49,10.1.2.6,2001:db8:c100:4::1
,,,,,,
nyc-wan-gw2 <-> nyc-core-sw1,10.1.2.8/30,2001:db8:c100:8::/127,,nyc-wan-gw2-ten0-0-4,10.1.2.9,2001:db8:c100:8::
,,,,nyc-core-sw1-hun1-0-50,10.1.2.10,2001:db8:c100:8::1
,,,,,,
nyc-wan-gw2 <-> nyc-core-sw2,10.1.2.12/30,2001:db8:c100:c::/127,,nyc-wan-gw2-ten0-0-5,10.1.2.13,2001:db8:c100:c::
,,,,nyc-core-sw2-hun1-0-50,10.1.2.14,2001:db8:c100:c::1
,,,,,,
nyc-wan-gw1 <-> nyc-wan-gw2,10.1.2.16/30,2001:db8:c100:10::/127,,nyc-wan-gw1-gig0-0-0,10.1.2.17,2001:db8:c100:10::
,,,,nyc-wan-gw2-gig0-0-0,10.1.2.18,2001:db8:c100:10::1
,,,,,,
nyc-wan-gw1 <-> WAN,10.1.2.20/30,2001:db8:c100:14::/64,,,,
nyc-wan-gw2 <-> WAN,10.1.2.24/30,2001:db8:c100:18::/64,,,,
,,,,,,
